"Name","DisplayName","Events","Guid","FileName","MessageFile","SubstitutionFile","ResourceFile","Levels","Keywords","SendsTo"
"Microsoft-Windows-TCPIP","","343","2f07e2ee-15db-40f1-90ef-9d7ba282188a","tcpip.sys","C:\Windows\system32\drivers\tcpip.sys","","C:\Windows\system32\drivers\tcpip.sys","Error, Warning, Information, Verbose","TcpipEndpoint, TcpipListener, TcpipTcb, TcpipBind, TcpipInterface, TcpipRoute, TcpipCtcp, TcpipDiagnosis, Transfer, ProcessIdHint, Endpoint, Rss, TcpipNdkpi, TcpipCsDiag, SendPath, ReceivePath, ConnectPath, ClosePath, Authentication, Configuration, Global, Dropped, PiiPresent, Packet, Address, StdTemplateHint, Summary","Microsoft-Windows-TCPIP/Diagnostic, Microsoft-Windows-TCPIP/Operational"
"Microsoft-Windows-OOBE-Machine-Plugins","Microsoft-Windows-OOBE-Machine-Plugins","44","2f4c4f72-75b8-4f4c-9d97-4ce334ecd3e0","msoobeplugins.dll","C:\Windows\system32\oobe\msoobeplugins.dll","","C:\Windows\system32\oobe\msoobeplugins.dll","Information","msoobe","Microsoft-Windows-OOBE-Machine-Plugins/Diagnostic"
"Microsoft-Windows-Dism-Cli","Deployment Image Servicing And Management CLI","8","2f959466-24d4-4972-8729-0d5e3539ebc3","Dism.exe","C:\Windows\system32\Dism.exe","","C:\Windows\system32\Dism.exe","Information","DismCliEvent","Microsoft-Windows-Dism-Cli/Analytic"
"Microsoft-Windows-TabletPC-Platform-Manipulations","Microsoft-Windows-TabletPC-Platform-Manipulations","4","2fd7a9a5-b1a1-4fc7-b95c-c32fed818f30","rtscom.dll","C:\Program Files\Common Files\Microsoft Shared\Ink\rtscom.dll","","C:\Program Files\Common Files\Microsoft Shared\Ink\rtscom.dll","Information","",""
"Microsoft-Windows-Kernel-WDI","Microsoft-Windows-Kernel-WDI","14","2ff3e6b7-cb90-4700-9621-443f389734ed","Microsoft-Windows-System-Events.dll","C:\Windows\system32\Microsoft-Windows-System-Events.dll","","C:\Windows\system32\Microsoft-Windows-System-Events.dll","Error, Warning, Information","context, diag, SQM","Microsoft-Windows-Kernel-WDI/Analytic, Microsoft-Windows-Kernel-WDI/Debug, Microsoft-Windows-Kernel-WDI/Operational"
"Microsoft-Windows-Shell-Core","Microsoft-Windows-Shell-Core","2323","30336ed4-e327-447c-9de0-51b652c86108","shsvcs.dll","C:\Windows\system32\shsvcs.dll","","C:\Windows\system32\shsvcs.dll","Error, Warning, Information, Verbose","Shell, Properties, FileClassStoreAndIconCache, Controls, APICalls, InternetExplorer, ShutdownUX, CopyEngine, Tasks, WDI, StartupPerf, StructuredQuery, Grep, ItemCollection, SearchPerf, ActiveSetup, ExplorerPerf, LogonPerformance, Response Time, SQM","Microsoft-Windows-Shell-Core/Diagnostic, Microsoft-Windows-Shell-Core/ActionCenter, Microsoft-Windows-Shell-Core/Operational"
"Microsoft-Windows-DirectoryServices-LSADB","","8","30974659-5cab-45cf-8237-0dcfdcfa0d26","lsadb.dll","C:\Windows\System32\lsadb.dll","","C:\Windows\System32\lsadb.dll","Error, Warning","","System"
"Microsoft-Windows-USB-USBXHCI","","35","30e1d284-5d88-459c-83fd-6345b39b19ec","usbxhci.sys","C:\Windows\system32\drivers\usbxhci.sys","","C:\Windows\system32\drivers\usbxhci.sys","Error, Information","Default, USBError, IRP, Power, PnP, Performance, HeadersBusTrace, PartialDataBusTrace, FullDataBusTrace, StateMachine, Enumeration, VerifyDriver, HWVerifyHost, HWVerifyHub, HWVerifyDevice, Rundown, Device, Hub, Compat, ControllerCommand","System, Microsoft-Windows-USB-USBXHCI-Analytic"
"Microsoft-Windows-WMVENCOD","Microsoft-Windows-WMVENCOD","13","313b0545-bf9c-492e-9173-8de4863b8573","wmvencod.dll","C:\Windows\system32\wmvencod.dll","","C:\Windows\system32\wmvencod.dll","Information, Verbose","","WINDOWS_VC1ENC_CHANNEL"
"Microsoft-Windows-VWiFi","Microsoft-Windows-VWiFi","4","314b2b0d-81ee-4474-b6e0-c2aaec0ddbde","","C:\Windows\system32\drivers\vwififlt.sys","","C:\Windows\system32\drivers\vwififlt.sys","Information","Response Time","Microsoft-Windows-VWiFi/Diagnostic"
"Microsoft-Windows-NCSI","Microsoft-Windows-NCSI","58","314de49f-ce63-4779-ba2b-d616f6963a88","ncsi.dll","C:\Windows\system32\ncsi.dll","","C:\Windows\system32\ncsi.dll","Warning, Information","NlaDiagnostics, LwtDiagnostic, SendPath, ReceivePath, L3ConnectPath, L2ConnectPath, ClosePath, Authentication, Configuration, Global, Dropped, PiiPresent, Packet, Address, StdTemplateHint, StateTransition, Response Time","Microsoft-Windows-NCSI/Analytic, Microsoft-Windows-NCSI/Operational"
"Microsoft-Windows-WPD-API","Microsoft-Windows-WPD-API","2","31569dcf-9c6f-4b8e-843a-b7c1cc7ffcba","wpd_ci.dll","C:\Windows\System32\wpd_ci.dll","","C:\Windows\System32\wpd_ci.dll","Information","","Microsoft-Windows-WPD-API/Analytic"
"Microsoft-Windows-Immersive-Shell","Microsoft-Windows-Apps","1551","315a8872-923e-4ea2-9889-33cd4754bf64","twinui.dll","C:\Windows\system32\twinui.dll","","C:\Windows\system32\twinui.dll","Error, Warning, Information, Verbose","PLMComponent, NotificationE2E, wpndebug_TileParsingErrors, wpndebug_LocalImageErrors, wpndebug_ToastParsingErrors, LwNetDiag, LockScreenCallBroker, Response Time","Microsoft-Windows-TWinUI/Diagnostic, Microsoft-Windows-TWinUI/Operational, Application"
"Microsoft-Windows-User-ControlPanel","Microsoft-Windows-User Control Panel","61","319122a9-1485-4e48-af35-7db2d93b8ad2","usercpl.dll","C:\Windows\system32\usercpl.dll","","C:\Windows\system32\usercpl.dll","Error, Information","Response Time, SQM","Microsoft-Windows-User Control Panel/Diagnostic, Microsoft-Windows-User Control Panel Performance/Diagnostic, Microsoft-Windows-User Control Panel Usage/Diagnostic, Microsoft-Windows-User Control Panel/Operational"
"Microsoft-Windows-IME-JPAPI","Microsoft-Windows-IME-JPAPI","24","31bcac7f-4ab8-47a1-b73a-a161ee68d585","","C:\Windows\system32\IME\IMEJP\imjpapi.dll","","C:\Windows\system32\IME\IMEJP\imjpapi.dll","Information","","Microsoft-Windows-IME-JPAPI/Analytic"
"Microsoft-Windows-DesktopWindowManager-Diag","Microsoft-Windows-DesktopWindowManager-Diag","2","31f60101-3703-48ea-8143-451f8de779d2","dwmcore.dll","C:\Windows\system32\dwmcore.dll","","C:\Windows\system32\dwmcore.dll","Information","DesktopWindowManager-WDI","Microsoft-Windows-DesktopWindowManager-Diag/Diagnostic"
"Microsoft-Windows-SMBWitnessClient","","41","32254f6c-aa33-46f0-a5e3-1cbcc74bf683","wkssvc.dll","C:\Windows\system32\wkssvc.dll","","C:\Windows\system32\wkssvc.dll","Critical, Error, Warning, Information","","WitnessClientAdmin"
